Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
190,Murray State,32,12,20,.375,0.56,1.78,,9,11,,8,8,,4,9,,2232,2237,,65.5,106.3,.271,.425,.566,50.4,53.4,7.4,8.8,.541,16.1,25.2,.195
191,Navy,31,13,18,.419,-11.47,-9.30,,8,10,,10,5,,3,13,,2060,2067,,65.4,101.1,.351,.411,.534,50.3,55.5,7.2,12.3,.497,17.8,30.1,.251
192,NC State,36,22,14,.611,11.56,7.89,,9,11,,12,5,,4,7,,2749,2617,,68.8,104.5,.319,.354,.540,50.8,50.1,7.5,7.7,.505,15.7,29.3,.234
193,Nebraska,33,23,10,.697,15.12,7.64,,12,8,,18,1,,3,8,,2560,2313,,69.3,100.1,.277,.417,.495,49.5,52.7,8.9,10.9,.463,14.0,30.0,.194
194,Nevada,33,26,7,.788,13.36,4.74,,13,5,,15,2,,8,3,,2522,2213,,67.0,99.6,.339,.415,.518,48.7,55.3,7.3,6.5,.483,15.5,27.1,.236
195,Nevada-Las Vegas,31,19,12,.613,8.91,6.33,,12,6,,12,6,,7,3,,2270,2103,,66.0,101.2,.308,.378,.521,49.8,58.8,9.0,9.2,.480,16.3,31.5,.233
196,New Hampshire,31,16,15,.516,-6.04,-3.51,,7,9,,9,5,,7,10,,2298,2297,,73.3,100.7,.275,.388,.526,51.0,50.5,10.3,13.1,.495,14.8,24.8,.201
197,New Mexico,35,26,9,.743,16.01,5.45,,10,8,,13,3,,5,6,,2860,2468,,72.5,97.2,.336,.364,.517,47.1,54.1,8.0,9.5,.477,17.2,26.7,.245
198,New Mexico State,32,13,19,.406,-8.33,1.03,,7,9,,12,3,,1,13,,2166,2318,,68.6,104.3,.419,.423,.533,51.1,56.2,10.3,7.1,.493,14.7,28.2,.294
199,New Orleans,33,10,23,.303,-16.34,-5.44,,4,14,,7,6,,2,15,,2427,2622,,73.2,108.2,.370,.316,.558,53.6,53.6,8.7,9.2,.523,17.1,34.6,.267
200,Niagara,32,16,16,.500,-8.15,-6.96,,11,9,,5,9,,10,6,,2319,2307,,67.9,105.0,.309,.277,.548,50.8,41.4,9.6,8.8,.519,14.7,26.3,.220
201,Nicholls State,34,20,14,.588,-6.65,-4.88,,13,5,,10,2,,8,10,,2512,2514,,67.8,105.6,.385,.359,.525,51.1,49.5,10.9,11.1,.491,14.0,31.6,.260
202,NJIT,28,7,21,.250,-14.50,-4.31,,3,13,,5,8,,2,13,,1902,2101,,68.6,109.4,.392,.355,.554,52.1,54.0,8.8,9.7,.522,14.9,32.0,.271
